npv,project_irr,equity_irr,min_dscr,breaches
3793.5713848080954,0.1822224495585033,0.2603092244135041,1.0220331530580837,2
971.6803017894761,0.12761784772601456,0.1606612632505858,0.7732709857330836,5
2538.8170759725494,0.1564240325846185,0.21281813993755355,0.8831746835911853,3
4057.0552954934174,0.18041561217933125,0.253829245689849,0.9527816953112943,2
629.9194683623532,0.12455558453839333,0.15915260914516693,0.9073361341893419,3
72.98422734492202,0.1114217752495279,0.13201179849947947,0.7576720343233124,6
3152.3069120094897,0.15829706517533854,0.2113395321272037,0.7907839991777424,3
1019.9305388062282,0.13200537368475126,0.17193918620214385,0.8918587909357999,3
2215.3379461765658,0.15928373660717632,0.22393806765867338,1.0220331530580837,3
2725.628049894824,0.16710092276734942,0.23624990399111995,1.0173889520937307,2
4105.502093082245,0.16863113767421964,0.2276053954636154,0.7883753487996057,3
4116.726133730361,0.18616459329459759,0.26625214712221346,1.0220331530580837,2
3114.2077118153093,0.1646138653077288,0.22627207736040875,0.8906398688403271,3
2306.3803004397587,0.13777575882986642,0.172110339435676,0.6018741871178884,6
1785.5513217910698,0.14207150055472087,0.18631479159557787,0.8214409156983911,3
205.1929784384384,0.11415709718480685,0.13751410014865545,0.7895661688308201,5
3577.149806477745,0.17872254444864666,0.2539447841059883,1.0163199275204724,2
2373.7868180829896,0.16157812444553205,0.22689780226719453,1.0220331530580837,3
2394.4702695412734,0.14883496343400116,0.19650130106983849,0.783666419611424,3
1955.3208317151475,0.14891401481272626,0.20095723803278823,0.911350721403123,3
802.6527417159557,0.12406458524210395,0.15369036694100946,0.7432938980163475,6
2054.734389114198,0.14816318228986347,0.1984981642908679,0.858648701811836,3
1303.3748033590407,0.1246201965207547,0.14962055199566757,0.5324599799973213,6
1859.8182898884816,0.14859629066595526,0.20155051728761467,0.935913730485943,3
2542.8490829871153,0.15325403119923073,0.20516666590701788,0.8295804704502553,3
1209.7015368164612,0.13852512328903688,0.18596178611951478,0.9790462882469962,3
1477.0293564489473,0.1343823114291809,0.1709859455770129,0.7476293459161272,5
1312.9276555542592,0.13444308934358562,0.17347988792062097,0.8121839018740002,3
2877.6894763362143,0.16732938193545127,0.23464609422007932,0.988279061996781,3
